"编号","区","性质","办园类型","办园等级","幼儿园","片区","园区/分园","地址","高德POI名称","高德POI地址","高德经纬度","距西岸网易研发中心","高德搜索链接","联系电话","托班计划","小班计划","对口居委/招生范围","招生类型","置信度","备注","主要来源"
"PD44","浦东","公办","公办","示范园","上海市浦东新区澧溪幼儿园","浦东/周浦","上海市浦东新区澧溪幼儿园韵涛部","上海市浦东新区浦东新区周浦镇韵涛路130号","高德地址坐标（非POI精确匹配）","上海市浦东新区周浦镇韵涛路","121.586321,31.103558","高德直线约 13.47 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%BE%A7%E6%BA%AA%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%BE%A7%E6%BA%AA%E5%B9%BC%E5%84%BF%E5%9B%AD%E9%9F%B5%E6%B6%9B%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E9%95%87%E9%9F%B5%E6%B6%9B%E8%B7%AF130%E5%8F%B7","13391139693","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD45","浦东","公办","公办","示范园","上海市浦东新区金爵幼儿园","浦东/待归类","上海市浦东新区金爵幼儿园唐安部","上海市浦东新区唐安路1072号","金爵幼儿园","唐安路1072号(近创新中路)","121.654817,31.203248","高德直线约 19.34 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%87%91%E7%88%B5%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%87%91%E7%88%B5%E5%B9%BC%E5%84%BF%E5%9B%AD%E5%94%90%E5%AE%89%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%94%90%E5%AE%89%E8%B7%AF1072%E5%8F%B7","68790311-208","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD46","浦东","公办","公办","示范园","上海市浦东新区金爵幼儿园","浦东/待归类","上海市浦东新区金爵幼儿园齐爱部","上海市浦东新区齐爱路793号","高德地址坐标（非POI精确匹配）","上海市浦东新区齐爱路793号","121.667981,31.203955","高德直线约 20.57 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%87%91%E7%88%B5%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%87%91%E7%88%B5%E5%B9%BC%E5%84%BF%E5%9B%AD%E9%BD%90%E7%88%B1%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%BD%90%E7%88%B1%E8%B7%AF793%E5%8F%B7","68796805-8047","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD47","浦东","公办","公办","示范园","上海市浦东新区好奇妙幼儿园","浦东/待归类","上海市浦东新区好奇妙幼儿园森兰部","上海市浦东新区高西路625号","高德地址坐标（非POI精确匹配）","上海市浦东新区高西路625号","121.591946,31.318783","高德直线约 22.04 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%A5%BD%E5%A5%87%E5%A6%99%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%A5%BD%E5%A5%87%E5%A6%99%E5%B9%BC%E5%84%BF%E5%9B%AD%E6%A3%AE%E5%85%B0%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%AB%98%E8%A5%BF%E8%B7%AF625%E5%8F%B7","50831077","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD48","浦东","公办","公办","示范园","上海市浦东新区好奇妙幼儿园","浦东/待归类","上海市浦东新区好奇妙幼儿园荷兰部","上海市浦东新区春阳路209号","高德地址坐标（非POI精确匹配）","上海市浦东新区春阳路209号","121.575838,31.333882","高德直线约 22.65 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%A5%BD%E5%A5%87%E5%A6%99%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%A5%BD%E5%A5%87%E5%A6%99%E5%B9%BC%E5%84%BF%E5%9B%AD%E8%8D%B7%E5%85%B0%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%98%A5%E9%98%B3%E8%B7%AF209%E5%8F%B7","50174632","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD49","浦东","公办","公办","示范园","上海市浦东新区潼江幼儿园","浦东/高桥","上海市浦东新区潼江幼儿园港城部","上海市浦东新区高桥镇同港路25号","高德地址坐标（非POI精确匹配）","上海市浦东新区高桥镇同港路88号","121.577346,31.351165","高德直线约 24.41 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%BD%BC%E6%B1%9F%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%BD%BC%E6%B1%9F%E5%B9%BC%E5%84%BF%E5%9B%AD%E6%B8%AF%E5%9F%8E%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%AB%98%E6%A1%A5%E9%95%87%E5%90%8C%E6%B8%AF%E8%B7%AF25%E5%8F%B7","50409003","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD50","浦东","公办","公办","示范园","上海市浦东新区潼江幼儿园","浦东/待归类","上海市浦东新区潼江幼儿园新村部","上海市浦东新区大同路260弄5幢13号","高德地址坐标（非POI精确匹配）","上海市浦东新区大同路260弄5幢13号","121.577693,31.344169","高德直线约 23.74 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%BD%BC%E6%B1%9F%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%BD%BC%E6%B1%9F%E5%B9%BC%E5%84%BF%E5%9B%AD%E6%96%B0%E6%9D%91%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%A4%A7%E5%90%8C%E8%B7%AF260%E5%BC%845%E5%B9%A213%E5%8F%B7","58673526","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD51","浦东","公办","公办","示范园","上海市浦东新区潼江幼儿园","浦东/待归类","上海市浦东新区潼江幼儿园潼江部","上海市浦东新区清溪路299弄10号","潼江幼儿园(航津部)","莱阳路3700号","121.583134,31.331972","高德直线约 22.82 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%BD%BC%E6%B1%9F%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%BD%BC%E6%B1%9F%E5%B9%BC%E5%84%BF%E5%9B%AD%E6%BD%BC%E6%B1%9F%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%B8%85%E6%BA%AA%E8%B7%AF299%E5%BC%8410%E5%8F%B7","58612825","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD52","浦东","公办","公办","示范园","上海市浦东新区周浦幼儿园","浦东/周浦","上海市浦东新区周浦幼儿园公元部","上海市浦东新区周浦镇公元一村15号","浦东新区周浦幼儿园(公元部)","周浦镇公元新村15号","121.576885,31.121185","高德直线约 11.88 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E5%B9%BC%E5%84%BF%E5%9B%AD%E5%85%AC%E5%85%83%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E9%95%87%E5%85%AC%E5%85%83%E4%B8%80%E6%9D%9115%E5%8F%B7","021-58111200","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD53","浦东","公办","公办","示范园","上海市浦东新区周浦幼儿园","浦东/周浦","上海市浦东新区周浦幼儿园康景部","上海市浦东新区康桥镇渡桥路202号","高德地址坐标（非POI精确匹配）","上海市浦东新区康桥镇渡桥路202号","121.547405,31.114882","高德直线约 9.60 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E5%B9%BC%E5%84%BF%E5%9B%AD%E5%BA%B7%E6%99%AF%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%BA%B7%E6%A1%A5%E9%95%87%E6%B8%A1%E6%A1%A5%E8%B7%AF202%E5%8F%B7","021-58121066","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD54","浦东","公办","公办","示范园","上海市浦东新区周浦幼儿园","浦东/周浦","上海市浦东新区周浦幼儿园秀康部","上海市浦东新区康桥镇秀康路536号","高德地址坐标（非POI精确匹配）","上海市浦东新区康桥镇秀康路536号","121.562983,31.139758","高德直线约 10.07 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E5%B9%BC%E5%84%BF%E5%9B%AD%E7%A7%80%E5%BA%B7%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%BA%B7%E6%A1%A5%E9%95%87%E7%A7%80%E5%BA%B7%E8%B7%AF536%E5%8F%B7","021-20903995","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD55","浦东","公办","公办","示范园","上海市浦东新区金囡幼儿园","浦东/待归类","上海市浦东新区金囡幼儿园（苗圃部）","上海市浦东新区苗蒲路470号","金囡幼儿园(苗圃路)","苗圃路470号(北洋泾路地铁站3号口步行360米)","121.551901,31.236968","高德直线约 12.59 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%87%91%E5%9B%A1%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%87%91%E5%9B%A1%E5%B9%BC%E5%84%BF%E5%9B%AD%EF%BC%88%E8%8B%97%E5%9C%83%E9%83%A8%EF%BC%89%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E8%8B%97%E8%92%B2%E8%B7%AF470%E5%8F%B7","68539633","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD56","浦东","公办","公办","示范园","上海市浦东新区金囡幼儿园","浦东/待归类","上海市浦东新区金囡幼儿园（沈家弄部）","上海市浦东新区沈家弄路900弄32号","金囡幼儿园(沈家弄路)","沈家弄路900弄32号(民生路地铁站1号口步行470米)","121.545632,31.238893","高德直线约 12.33 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%87%91%E5%9B%A1%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%87%91%E5%9B%A1%E5%B9%BC%E5%84%BF%E5%9B%AD%EF%BC%88%E6%B2%88%E5%AE%B6%E5%BC%84%E9%83%A8%EF%BC%89%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%B2%88%E5%AE%B6%E5%BC%84%E8%B7%AF900%E5%BC%8432%E5%8F%B7","50930031","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD57","浦东","公办","公办","示范园","上海市浦东新区金囡幼儿园","浦东/待归类","上海市浦东新区金囡幼儿园（瑞仕部）","上海市浦东新区博山东路710号","金囡幼儿园(博山东路)","博山东路710号","121.574848,31.256199","高德直线约 15.64 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%87%91%E5%9B%A1%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E9%87%91%E5%9B%A1%E5%B9%BC%E5%84%BF%E5%9B%AD%EF%BC%88%E7%91%9E%E4%BB%95%E9%83%A8%EF%BC%89%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%8D%9A%E5%B1%B1%E4%B8%9C%E8%B7%AF710%E5%8F%B7","58463810","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD58","浦东","公办","公办","示范园","上海市浦东新区东南幼儿园","浦东/周浦","上海市浦东新区东南幼儿园东南部","上海市浦东新区周浦镇东南一村27号","东南幼儿园(东南部)","周浦镇东南新村27号","121.583529,31.112700","高德直线约 12.81 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E4%B8%9C%E5%8D%97%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E4%B8%9C%E5%8D%97%E5%B9%BC%E5%84%BF%E5%9B%AD%E4%B8%9C%E5%8D%97%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E9%95%87%E4%B8%9C%E5%8D%97%E4%B8%80%E6%9D%9127%E5%8F%B7","021-58113343","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD59","浦东","公办","公办","示范园","上海市浦东新区东南幼儿园","浦东/周浦","上海市浦东新区东南幼儿园圣鑫部","上海市浦东新区周浦镇周东路782弄43号","上海市浦东新区东南幼儿园(圣鑫部)","周浦镇周东路782弄43号","121.583522,31.126453","高德直线约 12.31 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E4%B8%9C%E5%8D%97%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E4%B8%9C%E5%8D%97%E5%B9%BC%E5%84%BF%E5%9B%AD%E5%9C%A3%E9%91%AB%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E9%95%87%E5%91%A8%E4%B8%9C%E8%B7%AF782%E5%BC%8443%E5%8F%B7","021-20925183","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD60","浦东","公办","公办","示范园","上海市浦东新区东南幼儿园","浦东/周浦","上海市浦东新区东南幼儿园御沁部","上海市浦东新区周浦镇周星路455号","高德地址坐标（非POI精确匹配）","上海市浦东新区周浦镇周星路455号","121.578064,31.100548","高德直线约 12.92 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E4%B8%9C%E5%8D%97%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E4%B8%9C%E5%8D%97%E5%B9%BC%E5%84%BF%E5%9B%AD%E5%BE%A1%E6%B2%81%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E9%95%87%E5%91%A8%E6%98%9F%E8%B7%AF455%E5%8F%B7","021-68123101","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD61","浦东","公办","公办","示范园","上海市浦东新区东南幼儿园","浦东/周浦","上海市浦东新区东南幼儿园华庭部","上海市浦东新区周浦镇横桥路151号","高德地址坐标（非POI精确匹配）","上海市浦东新区周浦镇横桥路151号","121.575647,31.107424","高德直线约 12.37 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E4%B8%9C%E5%8D%97%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E4%B8%9C%E5%8D%97%E5%B9%BC%E5%84%BF%E5%9B%AD%E5%8D%8E%E5%BA%AD%E9%83%A8%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E5%91%A8%E6%B5%A6%E9%95%87%E6%A8%AA%E6%A1%A5%E8%B7%AF151%E5%8F%B7","021-68123101","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
"PD62","浦东","公办","公办","示范园","上海市浦东新区浦南幼儿园","浦东/东明","上海市浦东新区浦南幼儿园云莲校区","上海市浦东新区东明路600弄25号","高德地址坐标（非POI精确匹配）","上海市浦东新区东明路600弄25号","121.508121,31.179050","高德直线约 5.31 km","https://ditu.amap.com/search?query=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%B5%A6%E5%8D%97%E5%B9%BC%E5%84%BF%E5%9B%AD%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E6%B5%A6%E5%8D%97%E5%B9%BC%E5%84%BF%E5%9B%AD%E4%BA%91%E8%8E%B2%E6%A0%A1%E5%8C%BA%20%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B5%A6%E4%B8%9C%E6%96%B0%E5%8C%BA%E4%B8%9C%E6%98%8E%E8%B7%AF600%E5%BC%8425%E5%8F%B7","50870615","待电话确认","待电话确认","非徐汇区对口/招生范围需按所在区当年政策和居住地址核验。","政策待核验","B","公开名单采集；招生条件、收费和实际入读园区需电话确认。","上海本地宝《浦东新区幼儿园名单+电话查询》，2024-03-25：https://sh.bendibao.com/edu/2024325/284151.shtm"
